x,y
-244.31620388892685,-513.6971340189185
-243.81623692030612,-513.6983225180585
-243.3162699516854,-513.6995110171985
-242.81630298306467,-513.7006995163384
-242.31633601444395,-513.7018880154784
-241.81636904582322,-513.7030765146184
-241.3164020772025,-513.7042650137583
-240.81660151378875,-513.6913523904933
-240.316800950375,-513.6784397672283
-239.81700038696127,-513.6655271439632
-239.31719982354753,-513.6526145206982
-238.81739926013378,-513.6397018974332
-238.31759869672004,-513.6267892741681
-237.8177981333063,-513.6138766509031
-237.31799756989255,-513.600964027638
-236.81993109768047,-513.5574474194968
-236.32186462546838,-513.5139308113556
-235.8237981532563,-513.4704142032144
-235.3257316810442,-513.4268975950732
-234.82766520883212,-513.383380986932
-234.32959873662003,-513.3398643787908
-233.8340268390381,-513.2738086582734
-233.33845494145618,-513.207752937756
-232.84288304387425,-513.1416972172386
-232.34731114629233,-513.0756414967212
-231.8517392487104,-513.0095857762038
-231.36009145400226,-512.9187790027316
-230.86844365929412,-512.8279722292594
-230.37679586458597,-512.7371654557872
-229.88813165636566,-512.6314589994886
-229.39946744814534,-512.5257525431899
-228.91080323992503,-512.4200460868913
-228.42213903170472,-512.3143396305926
-227.9334748234844,-512.2086331742939
-227.4565058050106,-512.0587655415264
-226.9795367865368,-511.90889790875895
-226.50256776806302,-511.75903027599145
-226.02559874958922,-511.60916264322395
-225.54862973111543,-511.45929501045646
-225.07954089287958,-511.28632415321596
-224.61045205464373,-511.11335329597546
-224.14136321640788,-510.94038243873496
-223.6805780352993,-510.74632676208546
-223.21979285419073,-510.55227108543596
-222.75900767308215,-510.35821540878646
-222.29822249197358,-510.16415973213697
-221.837437310865,-509.97010405548747
-221.3852803457704,-509.75670074199707
-220.93312338067582,-509.54329742850666
-220.48096641558124,-509.32989411501626
-220.02880945048665,-509.11649080152586
-219.57665248539206,-508.90308748803545
-219.13326740505306,-508.67200425177003
-218.68988232471406,-508.4409210155046
-218.24649724437506,-508.2098377792392
-217.80311216403607,-507.9787545429738
-217.35972708369707,-507.74767130670836
-216.91634200335807,-507.51658807044294
-216.48601652285353,-507.26202350992656
-216.055691042349,-507.0074589494102
-215.62536556184446,-506.7528943888938
-215.19504008133993,-506.49832982837745
-214.7647146008354,-506.2437652678611
-214.33831796298742,-505.98267085067295
-213.91192132513945,-505.7215764334848
-213.48552468729147,-505.4604820162967
-213.0591280494435,-505.19938759910855
-212.63741254525223,-504.9307983396954
-212.21569704106096,-504.66220908028225
-211.7939815368697,-504.3936198208691
-211.37226603267843,-504.12503056145596
-210.95055052848716,-503.8564413020428
-210.5288350242959,-503.58785204262966
-210.11277863260702,-503.31057068876277
-209.69672224091815,-503.03328933489587
-209.28066584922928,-502.756007981029
-208.8646094575404,-502.4787266271621
-208.44855306585154,-502.2014452732952
-208.03249667416267,-501.9241639194283
-207.6164402824738,-501.6468825655614
-207.18640853463748,-501.39182127885414
-206.75637678680116,-501.1367599921469
-206.3222201764954,-500.88878797448945
-205.88806356618963,-500.640815956832
-205.45390695588387,-500.39284393917455
-205.0070975071601,-500.16847620579716
-204.56028805843633,-499.94410847241977
-204.11347860971256,-499.7197407390424
